Marketing_Channel,Marketing_Spend,Revenue_Generated,Conversions,Net_Profit,ROI_Percentage,Cost_Per_Conversion
Affiliate,38814.01315322123,115620,3953,76805.98684677877,197.88210650514642,9.8188750703823
Email Marketing,21753.11612709959,273075,4965,251321.88387290042,1155.3373889261259,4.381292271319152
Google Ads,373334.90409951785,686565,15446,313230.09590048215,83.90056554074197,24.170329153147602
Social Media,461531.73925051495,361800,14562,-99731.73925051495,-21.608858236373973,31.694254858571277
